iata,longitude,latitude,name,country
LHR,-0.453566,51.469604,Heathrow,United Kingdom
CDG,2.567023,49.003197,Charles De Gaulle,France
AMS,4.763385,52.30907,Schiphol,Netherlands
FRA,8.570773,50.050735,Frankfurt International Airport,Germany
IST,28.815277,40.976665,Istanbul Airport,Turkey
BCN,2.07593,41.30303,El Prat De Llobregat,Spain
MAD,-3.570209,40.46515,Barajas,Spain
MUC,11.790143,48.353004,Franz Josef Strauss,Germany
SAW,29.309189,40.904675,Sabiha Gokcen,Turkey
FCO,12.250346,41.794594,Leonardo Da Vinci (Fiumicino),Italy
LGW,-0.161863,51.156807,Gatwick,United Kingdom
DME,37.899494,55.414566,Domodedovo,Russia
ORY,2.3597,48.728283,Orly,France
VIE,16.563583,48.11972,Vienna International,Austria
ZRH,8.561746,47.450603,Zurich,Switzerland
OTP,26.077063,44.571156,Henri Coanda International,Romania
SVO,37.416573,55.966324,Sheremetyevo International,Russia
CPH,12.647601,55.62905,Kastrup,Denmark
ATH,23.946486,37.93635,"Athens International Airport ""Eleftherios Venizelos""",Greece
ARN,17.930365,59.64982,Arlanda,Sweden
DUB,-6.24357,53.42728,Dublin International,Ireland
OSL,11.100411,60.19419,Gardermoen,Norway
HAM,10.006414,53.63128,Hamburg Airport,Germany
BRU,4.483602,50.89717,Brussels Airport,Belgium
LIS,-9.128165,38.770042,Lisbon Portela,Portugal
BGY,9.698713,45.665314,Bergamo - Orio al Serio,Italy
HEL,24.96645,60.31795,Helsinki-vantaa,Finland
MAN,-2.273354,53.362907,Manchester Airport,United Kingdom
BUD,19.261621,47.433037,Liszt Ferenc International,Hungary
PRG,14.266638,50.10619,Prague Vaclav Havel Airport,Czech Republic
WAW,20.97329,52.170906,Frederic Chopin,Poland
EDI,-3.364177,55.948143,Edinburgh,United Kingdom
GVA,6.105774,46.229633,Geneve-cointrin,Switzerland
DUS,6.76558,51.278328,Düsseldorf International Airport,Germany
SXF,13.521388,52.370277,Berlin-Schoenefeld,Germany
BLL,9.147874,55.747383,Billund,Denmark
AGP,-4.489616,36.675182,Pablo Ruiz Picasso,Spain
NCE,7.205232,43.66049,Cote D'azur International Airport,France
PMI,2.730388,39.547653,Son Sant Joan Airport,Spain
STR,9.193624,48.69073,Stuttgart Echterdingen,Germany
NAP,14.291667,40.886112,Capodichino,Italy
LED,30.3083,59.806084,Pulkovo,Russia
LTN,-0.376232,51.87977,Luton Airport,United Kingdom
TLS,1.374321,43.63007,Blagnac,France
BHX,-1.733256,52.45252,Birmingham International Airport,United Kingdom
LPA,-15.389351,27.938944,Gran Canaria,Spain
KEF,-22.624283,63.997765,Keflavik International,Iceland
SZG,12.997331,47.791225,W. A. Mozart,Austria
AYT,30.80135,36.89928,Antalya,Turkey
MXP,8.71237,45.627403,Milano Malpensa,Italy
